variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation
Âge,26–33 ans,FINALE_ORIENTATION,Orientation,102,7,0.06862745098039216,0.033637792813023634,0.13493108747601207,238,14,0.058823529411764705,0.061764705882352944,0.006862745098039219,1.1111111111111112,1.1666666666666667,1.1789473684210525,0.8064249522763216,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,26–33 ans,FINALE_POTEAUX,Poteaux,102,4,0.0392156862745098,0.015353823095438889,0.09652657175875834,238,12,0.05042016806722689,0.047058823529411764,-0.00784313725490196,0.8333333333333334,0.7777777777777778,0.7687074829931972,0.7849487117290248,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,26–33 ans,JURY_FINAL_DECISION,Défaite au jury final,102,6,0.058823529411764705,0.02723526813965306,0.1224374503377698,238,9,0.037815126050420166,0.04411764705882353,0.014705882352941173,1.3333333333333333,1.5555555555555556,1.5902777777777777,0.39604242232972936,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,26–33 ans,CENSORED_WINNER,Victoire,102,9,0.08823529411764706,0.04711502569146459,0.15924617822079679,238,11,0.046218487394957986,0.058823529411764705,0.02941176470588236,1.5000000000000002,1.9090909090909092,1.997067448680352,0.13812562717031013,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,34–41 ans,VOTE_CONSEIL,Conseil,92,59,0.6413043478260869,0.5394508158914832,0.7318301310042279,248,146,0.5887096774193549,0.6029411764705882,0.038363171355498715,1.063626723223754,1.0893388921977367,1.2490660024906601,0.45426901470903047,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,34–41 ans,MEDICAL,Blessure / médical,92,4,0.043478260869565216,0.01703544061158062,0.10651842326381375,248,19,0.07661290322580645,0.06764705882352941,-0.02416879795396419,0.6427221172022685,0.5675057208237986,0.5478468899521531,0.33936314239866566,0.958789049081504,False,True,SOUS_REPRESENTATION_DESCRIPTIVE
Âge,34–41 ans,ELIMINATION_CHALLENGE,Épreuve éliminatoire,92,5,0.05434782608695652,0.023434718368504144,0.12098691065271419,248,11,0.04435483870967742,0.047058823529411764,0.007289002557544756,1.1548913043478262,1.2252964426877468,1.238244514106583,0.7737714407725879,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,34–41 ans,AMBASSADEURS,Ambassadeurs,92,1,0.010869565217391304,0.0019212795763616508,0.05902928886156091,248,10,0.04032258064516129,0.03235294117647059,-0.021483375959079287,0.33596837944664026,0.26956521739130435,0.26153846153846155,0.3003302562904605,0.958789049081504,False,False,TRES_PEU_D_EVENEMENTS
Âge,34–41 ans,VOLUNTARY,Abandon volontaire,92,4,0.043478260869565216,0.01703544061158062,0.10651842326381375,248,9,0.036290322580645164,0.03823529411764706,0.005242966751918154,1.137123745819398,1.1980676328502415,1.207070707070707,0.7546559789810698,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,34–41 ans,FINALE_ORIENTATION,Orientation,92,4,0.043478260869565216,0.01703544061158062,0.10651842326381375,248,17,0.06854838709677419,0.061764705882352944,-0.018286445012787728,0.7039337474120082,0.6342710997442456,0.6176470588235294,0.45946961388464813,0.958789049081504,False,True,SOUS_REPRESENTATION_DESCRIPTIVE
Âge,34–41 ans,FINALE_POTEAUX,Poteaux,92,7,0.07608695652173914,0.03734308465448332,0.1488140746583829,248,9,0.036290322580645164,0.047058823529411764,0.02902813299232737,1.6168478260869565,2.0966183574879227,2.186928104575163,0.14920579548057125,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,34–41 ans,JURY_FINAL_DECISION,Défaite au jury final,92,1,0.010869565217391304,0.0019212795763616508,0.05902928886156091,248,14,0.056451612903225805,0.04411764705882353,-0.03324808184143223,0.24637681159420288,0.19254658385093168,0.1836734693877551,0.07882836857324471,0.6246901941870798,False,False,TRES_PEU_D_EVENEMENTS
Âge,34–41 ans,CENSORED_WINNER,Victoire,92,7,0.07608695652173914,0.03734308465448332,0.1488140746583829,248,13,0.05241935483870968,0.058823529411764705,0.01726342710997443,1.2934782608695654,1.4515050167224082,1.48868778280543,0.4390668838795777,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,42 ans et plus,VOTE_CONSEIL,Conseil,66,37,0.5606060606060606,0.4408242143005392,0.6737206987598716,274,168,0.6131386861313869,0.6029411764705882,-0.04233511586452765,0.9297856614929785,0.9143217893217892,0.805008210180624,0.4841119080816533,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
