cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,concordance,status
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M5,15,age_42_plus,age_42_plus,2.1893741799983784,0.8604374205632632,5.570840116304708,0.1000706375662211,0.59375,SUCCESS
VOLUNTARY,VOLUNTARY_M1,13,gender_male,gender_male,1.0509764699064266,0.4688861623219056,2.3556923386846793,0.9038991670457892,0.5145631067961165,SUCCESS
VOLUNTARY,VOLUNTARY_M2,13,physical_score,physical_score,0.7554316755368436,0.20888405413144415,2.7320276733296933,0.6689315713447737,0.5242718446601942,SUCCESS
VOLUNTARY,VOLUNTARY_M3,13,age_18_25,age_18_25,2.5079038999946364,0.9929566420884565,6.33419598098424,0.05177357646471116,0.6262135922330098,SUCCESS
VOLUNTARY,VOLUNTARY_M4,13,age_34_41,age_34_41,1.0984418175937452,0.46826344246982865,2.5767000308088175,0.8291148646157179,0.48058252427184467,SUCCESS
VOLUNTARY,VOLUNTARY_M5,13,age_42_plus,age_42_plus,0.5873893122708801,0.17331682590798667,1.9907253803114928,0.3928920191609412,0.5315533980582524,SUCCESS
AMBASSADEURS,AMBASSADEURS_M1,11,gender_male,gender_male,2.3474234102230667,1.0161821833486788,5.422646408446753,0.04576635886408879,0.6259842519685039,SUCCESS
AMBASSADEURS,AMBASSADEURS_M2,11,physical_score,physical_score,0.4812663027195313,0.13665595499559396,1.6948932385770918,0.25488859562425087,0.5669291338582677,SUCCESS
AMBASSADEURS,AMBASSADEURS_M3,11,age_18_25,age_18_25,2.499345705818052,0.9099686939123259,6.864773479551154,0.07557652872010347,0.6181102362204725,SUCCESS
AMBASSADEURS,AMBASSADEURS_M4,11,age_34_41,age_34_41,0.4307323676460776,0.18199973651362508,1.0193991271196503,0.05533309000008693,0.594488188976378,SUCCESS
AMBASSADEURS,AMBASSADEURS_M5,11,age_42_plus,age_42_plus,1.6325659810989253,0.5584308688225162,4.7727871638997605,0.3705148748399544,0.5826771653543307,SUCCESS
