candidate_season_key,season_id,season_name,candidate_name,normalized_rank,normalized_exit_rank,at_risk,exits_at_rank,exit_cause_at_rank,gender_male,gender_label,physical_score,physical_label,age_band,age_label
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,11,12,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,12,12,1,1,VOTE_CONSEIL,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,1,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,2,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,3,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,4,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,5,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,6,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,7,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,8,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,9,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,10,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,11,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,12,13,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,13,13,1,1,VOTE_CONSEIL,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,1,14,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,2,14,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,3,14,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,4,14,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,5,14,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,6,14,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
