candidate_season_key,season_id,season_name,season_year,candidate_name,age,gender,physical_score_previous,survival_time,event,censored,final_position_raw,departure_type_normalized,departure_category,departure_model_category,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,final_departure_cause,age_band,event_vote_conseil,event_medical,event_finale_orientation,event_finale_poteaux,event_elimination_challenge,event_jury_final_decision,event_voluntary,event_ambassadeurs,event_destins_lies,physical_score,physical_profile,physical_score_source,physical_score_reviewer_status,event_vote_conseil_combined,analysis_departure_cause,season_cast_size,normalized_exit_rank_20,normalized_rank_block_3,reached_orientation,reached_poteaux,reached_jury_final,jury_final_win,final_phase_reached,prefinal_exit_event,prefinal_exit_order,prefinal_exit_count_season,prefinal_rank_15,prefinal_block_3,prefinal_block_5
KL07::mélanie,KL07,KL KL07,2007,Mélanie,23.0,FEMALE,0.0,4.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,4,4,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,4,4–6,0,0,0,0,0,1,4.0,12.0,4.0,4–6,1–5
KL07::véronique barriol,KL07,KL KL07,2007,Véronique Barriol,24.0,FEMALE,0.0,5.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,5,5,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,6,4–6,0,0,0,0,0,1,5.0,12.0,6.0,4–6,6–10
KL07::chloé,KL07,KL KL07,2007,Chloé,50.0,FEMALE,0.0,6.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,6,6,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,42+,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,7,7–9,0,0,0,0,0,1,6.0,12.0,7.0,7–9,6–10
KL07::érick,KL07,KL KL07,2007,Érick,25.0,MALE,0.0,7.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,7,7,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,1,Profil physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,8,7–9,0,0,0,0,0,1,7.0,12.0,8.0,7–9,6–10
KL07::filomène,KL07,KL KL07,2007,Filomène,32.0,FEMALE,0.0,8.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,8,8,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,9,7–9,0,0,0,0,0,1,8.0,12.0,9.0,7–9,6–10
KL07::adrien,KL07,KL KL07,2007,Adrien,35.0,MALE,0.0,9.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,9,9,MANUAL_FINAL,1,1,1,1,VOLUNTARY,34-41,0,0,0,0,0,0,1,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,VOLUNTARY,16,11,10–12,0,0,0,0,0,1,9.0,12.0,11.0,10–12,11–15
KL07::grégoire,KL07,KL KL07,2007,Grégoire,24.0,MALE,0.0,10.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,10,10,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,1,Profil physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,12,10–12,0,0,0,0,0,1,10.0,12.0,12.0,10–12,11–15
KL07::laurent,KL07,KL KL07,2007,Laurent,55.0,MALE,0.0,11.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,11,11,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,42+,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,13,13–15,0,0,0,0,0,1,11.0,12.0,13.0,13–15,11–15
KL07::patrick,KL07,KL KL07,2007,Patrick,24.0,MALE,0.0,12.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,12,12,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,14,13–15,0,0,0,0,0,1,12.0,12.0,15.0,13–15,11–15
KL07::simon,KL07,KL KL07,2007,Simon,34.0,MALE,0.0,13.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,13,13,MANUAL_FINAL,1,1,1,1,FINALE_ORIENTATION,34-41,0,0,1,0,0,0,0,0,0,1,Profil physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,FINALE_ORIENTATION,16,16,16–18,1,0,0,0,1,0,,12.0,,Phase finale atteinte,Phase finale atteinte
